source,color,shade,full_nm,hex,color_ord,shade_ord,pal_order
palette,blue,5,blue-5,#33a0bb,1,1,1
palette,pink,5,pink-5,#d01c65,2,1,2
palette,green,5,green-5,#799a3e,3,1,3
palette,brown,5,brown-5,#665546,4,1,4
palette,blue,2,blue-2,#add9e4,1,2,5
palette,pink,2,pink-2,#eca4c1,2,2,6
palette,green,2,green-2,#c9d7b2,3,2,7
palette,brown,2,brown-2,#c2bbb5,4,2,8
palette,blue,6,blue-6,#26778b,1,3,9
palette,pink,6,pink-6,#9c154c,2,3,10
palette,green,6,green-6,#5b732f,3,3,11
palette,brown,6,brown-6,#4d4035,4,3,12
palette,blue,3,blue-3,#85c6d6,1,4,13
palette,pink,3,pink-3,#e377a3,2,4,14
palette,green,3,green-3,#afc28b,3,4,15
palette,brown,3,brown-3,#a39990,4,4,16
palette,blue,7,blue-7,#1a505e,1,5,17
palette,pink,7,pink-7,#680e33,2,5,18
palette,green,7,green-7,#3d4d1f,3,5,19
palette,brown,7,brown-7,#332b23,4,5,20
palette,blue,4,blue-4,#5cb3c9,1,6,21
palette,pink,4,pink-4,#d94984,2,6,22
palette,green,4,green-4,#94ae65,3,6,23
palette,brown,4,brown-4,#958579,4,6,24
palette,blue,1,blue-1,#d6ecf1,1,7,25
palette,pink,1,pink-1,#f6d2e0,2,7,26
palette,green,1,green-1,#e4ebd8,3,7,27
palette,brown,1,brown-1,#e0ddda,4,7,28
palette,blue,8,blue8,#0d282f,,,
palette,brown,8,brown8,#191512,,,
palette,green,8,green8,#1e2710,,,
palette,pink,8,pink8,#340719,,,
style,blue,5,blue,#33a0bb,,,
style,blue,5,primary,#33a0bb,,,
style,blue,6,primary-dark,#26778b,,,
style,brown,4,footer-bg,#958579,,,
style,brown,1,rules,#e0ddda,,,
style,brown,5,text,#665546,,,
style,brown,5,brown,#665546,,,
style,dark-blue, ,dark-blue,#005587,,,
style,green,5,green,#799a3e,,,
style,pink,5,pink,#d01c65,,,
style,white, ,white,#fbfbfb,,,
chart,brown,4,ucl,#958579,,,
chart,brown,4,lcl,#958579,,,
chart,brown,7,cl,#332b23,,,
